RESULTATRÄKNING OCH BALANSRÄKNING
Nettoomsättning        93 600 000
Övriga externa kostnader    -28 000 000
Personalkostnader        -16 400 000
Löner och andra ersättningar    -11 900 000
Pensionskostnader        -780 000
Avskrivningar        -1 100 000
Rörelseresultat        48 100 000
Räntekostnader        -6 400 000
Resultat före skatt        41 700 000
Skattemässigt resultat        13 920 000
Skatt på årets resultat        -8 590 200
Årets resultat        33 109 800

Materiella anläggningstillgångar    6 200 000
Inventarier, verktyg och installationer  6 200 000
Varulager        200 000
Kundfordringar        400 000
Kassa och bank        600 000
Summa tillgångar        7 400 000
Outnyttjat underskott från tidigare år  2 800 000
Periodiseringsfonder        900 000
Eget kapital        6 400 000
Kortfristiga skulder        1 000 000
Summa eget kapital och skulder    7 400 000
