RESULTATRÄKNING OCH BALANSRÄKNING
Nettoomsättning        55 800 000
Övriga externa kostnader    -6 800 000
Personalkostnader        -10 800 000
Löner och andra ersättningar    -7 900 000
Pensionskostnader        -560 000
Avskrivningar        -260 000
Rörelseresultat        37 940 000
Räntekostnader        -6 400 000
Resultat före skatt        31 540 000
Skattemässigt resultat        21 360 000
Skatt på årets resultat        -6 497 240
Årets resultat        25 042 760

Immateriella anläggningstillgångar    2 400 000
Materiella anläggningstillgångar    1 300 000
Inventarier, verktyg och installationer  1 300 000
Varulager        200 000
Kundfordringar        400 000
Kassa och bank        600 000
Summa tillgångar        4 900 000
Outnyttjat underskott från tidigare år  2 800 000
Periodiseringsfonder        900 000
Eget kapital        3 900 000
Kortfristiga skulder        1 000 000
Summa eget kapital och skulder    4 900 000
