RESULTATRÄKNING OCH BALANSRÄKNING
Nettoomsättning        4 070 000
Övriga externa kostnader    -1 200 000
Personalkostnader        -4 300 000
Löner och andra ersättningar    -3 140 000
Pensionskostnader        -210 000
Avskrivningar        -70 000
Rörelseresultat        -1 500 000
Resultat före skatt        -1 500 000
Skatt på årets resultat        -0
Årets resultat        -1 500 000

Materiella anläggningstillgångar    290 000
Inventarier, verktyg och installationer  290 000
Varulager        200 000
Kundfordringar        400 000
Kassa och bank        600 000
Summa tillgångar        1 490 000
Eget kapital        490 000
Kortfristiga skulder        1 000 000
Summa eget kapital och skulder    1 490 000
