RESULTATRÄKNING OCH BALANSRÄKNING
Nettoomsättning        17 020 000
Övriga externa kostnader    -13 500 000
Personalkostnader        -3 400 000
Löner och andra ersättningar    -2 480 000
Pensionskostnader        -120 000
Avskrivningar        -120 000
Rörelseresultat        0
Resultat före skatt        0
Skattemässigt resultat        0
Skatt på årets resultat        -0
Årets resultat        0

Materiella anläggningstillgångar    560 000
Inventarier, verktyg och installationer  560 000
Varulager        4 200 000
Kundfordringar        400 000
Kassa och bank        600 000
Summa tillgångar        5 760 000
Obeskattade reserver        1 400 000
Eget kapital        4 760 000
Kortfristiga skulder        1 000 000
Summa eget kapital och skulder    5 760 000
