RESULTATRÄKNING OCH BALANSRÄKNING
Nettoomsättning        2 790 000
Övriga externa kostnader    -650 000
Personalkostnader        -2 100 000
Löner och andra ersättningar    -1 540 000
Pensionskostnader        -80 000
Avskrivningar        -40 000
Rörelseresultat        0
Resultat före skatt        0
Skattemässigt resultat        0
Skatt på årets resultat        -0
Årets resultat        0

Materiella anläggningstillgångar    180 000
Inventarier, verktyg och installationer  180 000
Varulager        200 000
Kundfordringar        400 000
Kassa och bank        600 000
Summa tillgångar        1 380 000
Obeskattade reserver        1 400 000
Eget kapital        380 000
Kortfristiga skulder        1 000 000
Summa eget kapital och skulder    1 380 000
