RESULTATRÄKNING OCH BALANSRÄKNING
Nettoomsättning        17 860 000
Övriga externa kostnader    -6 800 000
Personalkostnader        -10 800 000
Löner och andra ersättningar    -7 900 000
Pensionskostnader        -560 000
Avskrivningar        -260 000
Rörelseresultat        0
Resultat före skatt        0
Skattemässigt resultat        0
Skatt på årets resultat        -0
Årets resultat        0

Immateriella anläggningstillgångar    2 400 000
Materiella anläggningstillgångar    1 300 000
Inventarier, verktyg och installationer  1 300 000
Varulager        200 000
Kundfordringar        400 000
Kassa och bank        600 000
Summa tillgångar        4 900 000
Obeskattade reserver        1 400 000
Eget kapital        3 900 000
Kortfristiga skulder        1 000 000
Summa eget kapital och skulder    4 900 000
