RESULTATRÄKNING OCH BALANSRÄKNING
Nettoomsättning        39 600 000
Övriga externa kostnader    -13 500 000
Personalkostnader        -3 400 000
Löner och andra ersättningar    -2 480 000
Pensionskostnader        -120 000
Avskrivningar        -120 000
Rörelseresultat        22 580 000
Räntekostnader        -6 400 000
Resultat före skatt        16 180 000
Skattemässigt resultat        9 360 000
Skatt på årets resultat        -3 333 080
Årets resultat        12 846 920

Materiella anläggningstillgångar    560 000
Inventarier, verktyg och installationer  560 000
Varulager        4 200 000
Kundfordringar        400 000
Kassa och bank        600 000
Summa tillgångar        5 760 000
Outnyttjat underskott från tidigare år  2 800 000
Periodiseringsfonder        900 000
Eget kapital        4 760 000
Kortfristiga skulder        1 000 000
Summa eget kapital och skulder    5 760 000
