RESULTATRÄKNING OCH BALANSRÄKNING
Nettoomsättning        52 000 000
Övriga externa kostnader    -28 000 000
Personalkostnader        -16 400 000
Löner och andra ersättningar    -11 900 000
Pensionskostnader        -780 000
Avskrivningar        -1 100 000
Rörelseresultat        6 500 000
Resultat före skatt        6 500 000
Skattemässigt resultat        5 800 000
Skatt på årets resultat        -1 339 000
Årets resultat        5 161 000

Materiella anläggningstillgångar    6 200 000
Inventarier, verktyg och installationer  6 200 000
Varulager        200 000
Kundfordringar        400 000
Kassa och bank        600 000
Summa tillgångar        7 400 000
Eget kapital        6 400 000
Kortfristiga skulder        1 000 000
Summa eget kapital och skulder    7 400 000
