RESULTATRÄKNING OCH BALANSRÄKNING
Nettoomsättning        33 300 000
Övriga externa kostnader    -9 200 000
Personalkostnader        -5 100 000
Löner och andra ersättningar    -3 720 000
Pensionskostnader        -180 000
Avskrivningar        -1 900 000
Rörelseresultat        17 100 000
Räntekostnader        -6 400 000
Resultat före skatt        10 700 000
Skattemässigt resultat        3 840 000
Skatt på årets resultat        -2 204 200
Årets resultat        8 495 800

Materiella anläggningstillgångar    8 600 000
Inventarier, verktyg och installationer  8 600 000
Varulager        200 000
Kundfordringar        400 000
Kassa och bank        600 000
Summa tillgångar        9 800 000
Outnyttjat underskott från tidigare år  2 800 000
Periodiseringsfonder        900 000
Eget kapital        8 800 000
Kortfristiga skulder        1 000 000
Summa eget kapital och skulder    9 800 000
